"";"pais";"continente";"anio";"esperanza_de_vida";"poblacion";"pib_per_capita"
"1";"Afganistán";"Asia";1952;28,801;8425333;779,4453145
"2";"Afganistán";"Asia";1957;30,332;9240934;820,8530296
"3";"Afganistán";"Asia";1962;31,997;10267083;853,10071
"4";"Afganistán";"Asia";1967;34,02;11537966;836,1971382
"5";"Afganistán";"Asia";1972;36,088;13079460;739,9811058
"6";"Afganistán";"Asia";1977;38,438;14880372;786,11336
"7";"Afganistán";"Asia";1982;39,854;12881816;978,0114388
"8";"Afganistán";"Asia";1987;40,822;13867957;852,3959448
"9";"Afganistán";"Asia";1992;41,674;16317921;649,3413952
"10";"Afganistán";"Asia";1997;41,763;22227415;635,341351
"11";"Afganistán";"Asia";2002;42,129;25268405;726,7340548
"12";"Afganistán";"Asia";2007;43,828;31889923;974,5803384
"13";"Albania";"Europa";1952;55,23;1282697;1601,056136
"14";"Albania";"Europa";1957;59,28;1476505;1942,284244
"15";"Albania";"Europa";1962;64,82;1728137;2312,888958
"16";"Albania";"Europa";1967;66,22;1984060;2760,196931
"17";"Albania";"Europa";1972;67,69;2263554;3313,422188
"18";"Albania";"Europa";1977;68,93;2509048;3533,00391
"19";"Albania";"Europa";1982;70,42;2780097;3630,880722
"20";"Albania";"Europa";1987;72;3075321;3738,932735
"21";"Albania";"Europa";1992;71,581;3326498;2497,437901
"22";"Albania";"Europa";1997;72,95;3428038;3193,054604
"23";"Albania";"Europa";2002;75,651;3508512;4604,211737
"24";"Albania";"Europa";2007;76,423;3600523;5937,029526
"25";"Argelia";"África";1952;43,077;9279525;2449,008185
"26";"Argelia";"África";1957;45,685;10270856;3013,976023
"27";"Argelia";"África";1962;48,303;11000948;2550,81688
"28";"Argelia";"África";1967;51,407;12760499;3246,991771
"29";"Argelia";"África";1972;54,518;14760787;4182,663766
"30";"Argelia";"África";1977;58,014;17152804;4910,416756
"31";"Argelia";"África";1982;61,368;20033753;5745,160213
"32";"Argelia";"África";1987;65,799;23254956;5681,358539
"33";"Argelia";"África";1992;67,744;26298373;5023,216647
"34";"Argelia";"África";1997;69,152;29072015;4797,295051
"35";"Argelia";"África";2002;70,994;31287142;5288,040382
"36";"Argelia";"África";2007;72,301;33333216;6223,367465
"37";"Angola";"África";1952;30,015;4232095;3520,610273
"38";"Angola";"África";1957;31,999;4561361;3827,940465
"39";"Angola";"África";1962;34;4826015;4269,276742
"40";"Angola";"África";1967;35,985;5247469;5522,776375
"41";"Angola";"África";1972;37,928;5894858;5473,288005
"42";"Angola";"África";1977;39,483;6162675;3008,647355
"43";"Angola";"África";1982;39,942;7016384;2756,953672
"44";"Angola";"África";1987;39,906;7874230;2430,208311
"45";"Angola";"África";1992;40,647;8735988;2627,845685
"46";"Angola";"África";1997;40,963;9875024;2277,140884
"47";"Angola";"África";2002;41,003;10866106;2773,287312
"48";"Angola";"África";2007;42,731;12420476;4797,231267
"49";"Argentina";"Américas";1952;62,485;17876956;5911,315053
"50";"Argentina";"Américas";1957;64,399;19610538;6856,856212
"51";"Argentina";"Américas";1962;65,142;21283783;7133,166023
"52";"Argentina";"Américas";1967;65,634;22934225;8052,953021
"53";"Argentina";"Américas";1972;67,065;24779799;9443,038526
"54";"Argentina";"Américas";1977;68,481;26983828;10079,02674
"55";"Argentina";"Américas";1982;69,942;29341374;8997,897412
"56";"Argentina";"Américas";1987;70,774;31620918;9139,671389
"57";"Argentina";"Américas";1992;71,868;33958947;9308,41871
"58";"Argentina";"Américas";1997;73,275;36203463;10967,28195
"59";"Argentina";"Américas";2002;74,34;38331121;8797,640716
"60";"Argentina";"Américas";2007;75,32;40301927;12779,37964
"61";"Australia";"Oceanía";1952;69,12;8691212;10039,59564
"62";"Australia";"Oceanía";1957;70,33;9712569;10949,64959
"63";"Australia";"Oceanía";1962;70,93;10794968;12217,22686
"64";"Australia";"Oceanía";1967;71,1;11872264;14526,12465
"65";"Australia";"Oceanía";1972;71,93;13177000;16788,62948
"66";"Australia";"Oceanía";1977;73,49;14074100;18334,19751
"67";"Australia";"Oceanía";1982;74,74;15184200;19477,00928
"68";"Australia";"Oceanía";1987;76,32;16257249;21888,88903
"69";"Australia";"Oceanía";1992;77,56;17481977;23424,76683
"70";"Australia";"Oceanía";1997;78,83;18565243;26997,93657
"71";"Australia";"Oceanía";2002;80,37;19546792;30687,75473
"72";"Australia";"Oceanía";2007;81,235;20434176;34435,36744
"73";"Austria";"Europa";1952;66,8;6927772;6137,076492
"74";"Austria";"Europa";1957;67,48;6965860;8842,59803
"75";"Austria";"Europa";1962;69,54;7129864;10750,72111
"76";"Austria";"Europa";1967;70,14;7376998;12834,6024
"77";"Austria";"Europa";1972;70,63;7544201;16661,6256
"78";"Austria";"Europa";1977;72,17;7568430;19749,4223
"79";"Austria";"Europa";1982;73,18;7574613;21597,08362
"80";"Austria";"Europa";1987;74,94;7578903;23687,82607
"81";"Austria";"Europa";1992;76,04;7914969;27042,01868
"82";"Austria";"Europa";1997;77,51;8069876;29095,92066
"83";"Austria";"Europa";2002;78,98;8148312;32417,60769
"84";"Austria";"Europa";2007;79,829;8199783;36126,4927
"85";"Baréin";"Asia";1952;50,939;120447;9867,084765
"86";"Baréin";"Asia";1957;53,832;138655;11635,79945
"87";"Baréin";"Asia";1962;56,923;171863;12753,27514
"88";"Baréin";"Asia";1967;59,923;202182;14804,6727
"89";"Baréin";"Asia";1972;63,3;230800;18268,65839
"90";"Baréin";"Asia";1977;65,593;297410;19340,10196
"91";"Baréin";"Asia";1982;69,052;377967;19211,14731
"92";"Baréin";"Asia";1987;70,75;454612;18524,02406
"93";"Baréin";"Asia";1992;72,601;529491;19035,57917
"94";"Baréin";"Asia";1997;73,925;598561;20292,01679
"95";"Baréin";"Asia";2002;74,795;656397;23403,55927
"96";"Baréin";"Asia";2007;75,635;708573;29796,04834
"97";"Bangladesh";"Asia";1952;37,484;46886859;684,2441716
"98";"Bangladesh";"Asia";1957;39,348;51365468;661,6374577
"99";"Bangladesh";"Asia";1962;41,216;56839289;686,3415538
"100";"Bangladesh";"Asia";1967;43,453;62821884;721,1860862
"101";"Bangladesh";"Asia";1972;45,252;70759295;630,2336265
"102";"Bangladesh";"Asia";1977;46,923;80428306;659,8772322
"103";"Bangladesh";"Asia";1982;50,009;93074406;676,9818656
"104";"Bangladesh";"Asia";1987;52,819;103764241;751,9794035
"105";"Bangladesh";"Asia";1992;56,018;113704579;837,8101643
"106";"Bangladesh";"Asia";1997;59,412;123315288;972,7700352
"107";"Bangladesh";"Asia";2002;62,013;135656790;1136,39043
"108";"Bangladesh";"Asia";2007;64,062;150448339;1391,253792
"109";"Bélgica";"Europa";1952;68;8730405;8343,105127
"110";"Bélgica";"Europa";1957;69,24;8989111;9714,960623
"111";"Bélgica";"Europa";1962;70,25;9218400;10991,20676
"112";"Bélgica";"Europa";1967;70,94;9556500;13149,04119
"113";"Bélgica";"Europa";1972;71,44;9709100;16672,14356
"114";"Bélgica";"Europa";1977;72,8;9821800;19117,97448
"115";"Bélgica";"Europa";1982;73,93;9856303;20979,84589
"116";"Bélgica";"Europa";1987;75,35;9870200;22525,56308
"117";"Bélgica";"Europa";1992;76,46;10045622;25575,57069
"118";"Bélgica";"Europa";1997;77,53;10199787;27561,19663
